license_number,business_name,license_group,business_licenses,license_type,physical_address,county,expiration_date,tier,canopy_type,indoor_canopy_sqft,outdoor_canopy_sqft,endorsement,sos_registration_number
050-1005776B2C0,Reefer Madness,Recreational Retailer,Reefer Madness LLC,Recreational Retailer,1675 FAIRGROUNDS RD NE SALEM OR  97301-7130,Marion,2025-02-12,,,0,0,, 
050-1005779006B,Oregon Grown Cannabis Recreational Dispensary,Recreational Retailer,"OGC, LLC",Recreational Retailer,1201 W STEWART AVE MEDFORD OR  97501-3960,Jackson,2025-03-23,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1005805038C,Sweet Relief Scappoose,Recreational Retailer,G. O. Enterprises LLC,Recreational Retailer,52515 COLUMBIA RIVER HWY SCAPPOOSE OR  97056,Columbia,2025-03-23,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100580873A9,SpaceBuds,Recreational Retailer,Eagle 5 Enterprises Inc.,Recreational Retailer,741 LINCOLN ST EUGENE OR  97401-2502,Lane,2025-06-11,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1005889ADB7,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,9127 SE STARK ST PORTLAND OR  97216-1637,Multnomah,2024-09-07,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10059292304,Sweet Leaf Illusions,Recreational Retailer,Sweet Leaf Illusions LLC,Recreational Retailer,8434 SE 82ND AVE PORTLAND OR  97266-6569,Multnomah,2025-02-14,,,0,0,Marijuana Home Delivery, 
050-100595905E3,Electric Lettuce Oregon City,Recreational Retailer,"Oregon City Retail Investments, Inc",Recreational Retailer,1279 MOLALLA AVE OREGON CITY OR  97045-3743,Clackamas,2025-06-16,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1006029FA55,"High Desert Cannabis, LLC",Recreational Retailer,"High Desert Cannabis, LLC",Recreational Retailer,341 SW 20TH ST PENDLETON OR  97801-1806,Umatilla,2024-06-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10060518DA7,Wild West Emporium,Recreational Retailer,"Wild West Emporium - Molalla - Oregon City, Inc",Recreational Retailer,222 MOLALLA AVE OREGON CITY OR  97045-2630,Clackamas,2024-08-28,,,0,0,, 
050-1006105BAF2,Green Box,Recreational Retailer,"Green Box, LLC.",Recreational Retailer,7966 SE FOSTER RD PORTLAND OR  97206-4242,Multnomah,2025-07-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1006107BBE8,Oasis Cannabis,Recreational Retailer,"Dispenserve, LLC",Recreational Retailer,221 MAIN ST E MONMOUTH OR  97361-2240,Polk,2024-05-14,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10061095779,Cloud 9 Wellness,Recreational Retailer,TJH Enterprises Inc,Recreational Retailer,2560 CRATER LAKE HWY STE C MEDFORD OR  97504-4172,Jackson,2025-08-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10061656460,HD Botanicals,Recreational Retailer,"HD Botanicals, LLC",Recreational Retailer,51366 HIGHWAY 97 LA PINE OR  97739-9871,Deschutes,2025-06-19,,,0,0,Medical Marijuana Retailer, 
050-1006287B0C6,Papa Buds,Recreational Retailer,MML Holdings LLC,Recreational Retailer,4020 SE CESAR E CHAVEZ BLVD PORTLAND OR  97202-3110,Multnomah,2025-08-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1006325AD11,"Wild West Emporium, Sandy Blvd",Recreational Retailer,"Nature's Alternative, Inc.",Recreational Retailer,"15350 NE SANDY BLVD BLDG C, PORTLAND OR  97230-4360",Multnomah,2024-04-18,,,0,0,, 
050-1006350ECEF,Speedy Janes,Recreational Retailer,"SPEEDY JANES, LLC",Recreational Retailer,733 SW DENNIS AVE HILLSBORO OR  97123-5609,Washington,2024-10-08,,,0,0,, 
050-10063534435,"Wild West Emporium, Duke Street",Recreational Retailer,Tetra Management LLC,Recreational Retailer,"6126 SE DUKE ST STE A, PORTLAND OR  97206-6757",Multnomah,2024-04-30,,,0,0,, 
050-1006368EB36,Rip City Delivery,Recreational Retailer,Rip City Delivery LLC,Recreational Retailer,3518 SW MULTNOMAH BLVD PORTLAND OR  97219-3762,Multnomah,2024-08-17,,,0,0,, 
050-1006382C6BF,Green Muse LLC,Recreational Retailer,Green Muse LLC,Recreational Retailer,5515 NE 16TH AVE PORTLAND OR  97211-4942,Multnomah,2024-10-03,,,0,0,, 
050-10064647FD2,Green Mountain Fire,Recreational Retailer,SFC LLC,Recreational Retailer,21951 SE STARK ST GRESHAM OR  97030-2033,Multnomah,2025-07-04,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1006519C12E,Green Therapy,Recreational Retailer,Green Therapy Holdings Inc,Recreational Retailer,85938 HIGHWAY 99 S EUGENE OR  97405-9603,Lane,2024-10-04,,,0,0,, 
050-1006553111A,Green Knottz,Recreational Retailer,"Green Knottz, LLC",Recreational Retailer,51546 HIGHWAY 97 # 7 LA PINE OR  97739-8957,Deschutes,2025-07-09,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-100664391F4,NW Advantage,Recreational Retailer,Coleman Risdon,Recreational Retailer,119 SW 4TH ST CORVALLIS OR  97333-4711,Benton,2025-06-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100671665A3,Stumptown Cannabis,Recreational Retailer,Stumptown Cannabis LLC,Recreational Retailer,10587 SE 82ND AVE HAPPY VALLEY OR  97086-2313,Clackamas,2025-07-25,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10067226DF1,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,8601 SW TERWILLIGER BLVD PORTLAND OR  97219-4565,Multnomah,2025-04-13,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-10067366FA8,BudMart,Recreational Retailer,Techlogix Consulting LLC,Recreational Retailer,"97900 SHOPPING CENTER AVE STE 37, HARBOR OR  97415-9412",Curry,2025-07-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10068514E68,Floyd's Fine Cannabis,Recreational Retailer,"BTE Reed, LLC",Recreational Retailer,5217 SE 28TH AVE PORTLAND OR  97202-4506,Multnomah,2025-08-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10068739F36,High 5 Cannabis,Recreational Retailer,"Bradley Cook, Roger Howard",Recreational Retailer,86531 COLLEGE VIEW RD EUGENE OR  97405-9756,Lane,2024-09-19,,,0,0,, 
050-1006884F4A9,Floyd's Fine Cannabis,Recreational Retailer,BTE 2 LLC,Recreational Retailer,5944 NE SANDY BLVD PORTLAND OR  97213-3961,Multnomah,2025-11-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1006946EE11,CannaVida,Recreational Retailer,NWChronic LLC,Recreational Retailer,325 NE FRANKLIN AVE BEND OR  97701-4917,Deschutes,2024-08-13,,,0,0,, 
050-100697186A7,Thur's Smoke Shop,Recreational Retailer,Thur's Smoke Shop LLC,Recreational Retailer,502 SE 16TH ST PENDLETON OR  97801-3210,Umatilla,2025-08-27,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10069997015,Going Green Sweet Home,Recreational Retailer,Going Green Sweet Home Inc,Recreational Retailer,2252 MAIN ST SWEET HOME OR  97386-2888,Linn,2025-11-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10070593E9E,Diem,Recreational Retailer,"VLF Management, LLC",Recreational Retailer,"5903 SE MILWAUKIE AVE UNIT A, PORTLAND OR  97202-5257",Multnomah,2024-09-27,,,0,0,, 
050-1007069E349,Treestar,Recreational Retailer,"Treestar, LLC.",Recreational Retailer,1385 INDUSTRIAL AVE WOODBURN OR  97071-9604,Marion,2025-03-07,,,0,0,, 
050-100708760AF,420 Club LLC,Recreational Retailer,420 Club LLC,Recreational Retailer,2566 NE STEPHENS ST ROSEBURG OR  97470-1392,Douglas,2024-05-03,,,0,0,, 
050-10071949172,La Mota Front Ave LLC,Recreational Retailer,La Mota Front Ave LLC,Recreational Retailer,3075 NW FRONT AVE PORTLAND OR  97210-1505,Multnomah,2024-09-23,,,0,0,, 
050-100719502BC,La Mota Sandy Blvd LLC,Recreational Retailer,La Mota Sandy LLC,Recreational Retailer,9046 NE SANDY BLVD PORTLAND OR  97220-4838,Multnomah,2025-05-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1007207EDB9,La Mota,Recreational Retailer,La Mota Forest Grove LLC,Recreational Retailer,3139 PACIFIC AVE FOREST GROVE OR  97116-1802,Washington,2025-07-26,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1007242C532,The Greener Side Detroit Lake,Recreational Retailer,New Riderz Detroit Lake LLC,Recreational Retailer,1407 RIVER RD EUGENE OR  97404-2636,Lane,2024-11-05,,,0,0,, 
050-1007334E153,Cookies,Recreational Retailer,"Bakery OR I, Inc.",Recreational Retailer,7916 SE DIVISION ST PORTLAND OR  97206-1064,Multnomah,2025-03-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100736767B7,Cloud 9 Cannabis,Recreational Retailer,Cloud 9 Dispensary LLC,Recreational Retailer,154 MANOR ST NE ALBANY OR  97322-6509,Linn,2025-02-08,,,0,0,, 
050-10073803B80,Bahama Buds,Recreational Retailer,"Crowded House, LLC",Recreational Retailer,1415 N BAYSHORE DR COOS BAY OR  97420-2515,Coos,2024-11-05,,,0,0,, 
050-1007382E249,Cookies,Recreational Retailer,"Bakery OR I, Inc.",Recreational Retailer,"255 SW MADISON AVE # 255-257, CORVALLIS OR  97333-4705",Benton,2025-02-21,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1007437F64E,Four Seasons Dispensary and Resource Center,Recreational Retailer,Ronald Edward McReynolds,Recreational Retailer,30943 EHLEN DR SW ALBANY OR  97321-9451,Linn,2023-10-30,,,0,0,, 
050-1007465E4E4,Hyroot Organics,Recreational Retailer,STAPLETON ONE LLC,Recreational Retailer,52410 RIVER PINE RD LA PINE OR  97739-8906,Deschutes,2024-01-24,,,0,0,, 
050-10075721DCC,Kaleafa,Recreational Retailer,"Pacific Northwest Horticulture, LLC",Recreational Retailer,"1253 SISKIYOU BLVD STE C, ASHLAND OR  97520-3915",Jackson,2025-07-04,,,0,0,, 
050-1007581CF85,HASHSTORIA,Recreational Retailer,JCCD LLC,Recreational Retailer,"229 W MARINE DR C, ASTORIA OR  97103-6220",Clatsop,2024-08-21,,,0,0,, 
050-1007585AD54,Lemonnade PDX,Recreational Retailer,"Discover Investment Group, Inc.",Recreational Retailer,6218 NE COLUMBIA BLVD PORTLAND OR  97218-2965,Multnomah,2024-09-27,,,0,0,, 
050-10076228AAB,Oregrown Eugene,Recreational Retailer,"Downtown Bend Flagship, Inc.",Recreational Retailer,211 W 6TH AVE EUGENE OR  97401-2607,Lane,2025-06-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1007632F435,Floyd's Fine Cannabis,Recreational Retailer,Slichlolo Broadway Retail LLC,Recreational Retailer,801 NE BROADWAY ST PORTLAND OR  97232-1215,Multnomah,2025-06-06,,,0,0,, 
050-10076627A48,La Mota Lebanon 2 LLC,Recreational Retailer,La Mota Lebanon 2 LLC,Recreational Retailer,260 N SANTIAM HWY LEBANON OR  97355-2372,Linn,2025-03-06,,,0,0,, 
050-1007695C5F7,Hierba Buena,Recreational Retailer,Hierba buena incorporated,Recreational Retailer,3674 PACIFIC HWY HUBBARD OR  97032-9302,Marion,2025-02-11,,,0,0,, 
050-1007718656B,The Arboretum,Recreational Retailer,Beryl Industries LLC,Recreational Retailer,1541 HIGHWAY 101 FLORENCE OR  97439-9603,Lane,2024-02-21,,,0,0,, 
050-1007724B972,La Mota,Recreational Retailer,La Mota Medford 2 LLC,Recreational Retailer,620 W STEWART AVE MEDFORD OR  97501-3760,Jackson,2024-11-14,,,0,0,, 
050-1007806B0B8,La Mota,Recreational Retailer,La Mota Johnson Creek LLC,Recreational Retailer,3226 SE JOHNSON CREEK BLVD PORTLAND OR  97222-9207,Clackamas,2025-01-14,,,0,0,, 
050-10079072E3A,Mr. Nice Guy Salem,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,1460 STATE ST SALEM OR  97301-4247,Marion,2025-02-14,,,0,0,, 
050-10079307113,La Mota,Recreational Retailer,La Mota Gold Beach LLC,Recreational Retailer,29846 ELLENSBURG AVE GOLD BEACH OR  97444-,Curry,2025-07-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1008031898B,Budlandia,Recreational Retailer,Everett Holdings LLC,Recreational Retailer,7536 NE MARTIN LUTHER KING BLVD PORTLAND OR  97211-2830,Multnomah,2025-01-13,,,0,0,, 
050-100807035DC,King Kannabis,Recreational Retailer,King Kannabis LLC,Recreational Retailer,1544 NEWMARK AVE COOS BAY OR  97420-2914,Coos,2025-03-28,,,0,0,, 
050-10081041764,Cannabis Nation Oregon City,Recreational Retailer,"CBN OC, INC",Recreational Retailer,1128 MAIN ST OREGON CITY OR  97045-1081,Clackamas,2025-05-10,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10081197FAB,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,8705 SW HALL BLVD BEAVERTON OR  97008-6410,Washington,2025-06-14,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10082288469,Pharm To Table,Recreational Retailer,"4 Lobos, LLC",Recreational Retailer,3434 N PACIFIC HWY MEDFORD OR  97501-1348,Jackson,2025-07-05,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10082411AE5,The Dime Store,Recreational Retailer,"Fire Cannabis, Inc.",Recreational Retailer,8218 SE HOLGATE BLVD PORTLAND OR  97266-2936,Multnomah,2025-07-29,,,0,0,, 
050-1008270BB4F,La Mota SW Portland,Recreational Retailer,La Mota SW Portland LLC,Recreational Retailer,1103 SW TAYLORS FERRY RD PORTLAND OR  97219-4362,Multnomah,2025-07-07,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1008285A7DD,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,14195 SW ALLEN BLVD BEAVERTON OR  97005-4408,Washington,2025-03-12,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1008335A9E3,Mr. Nice Guy Market St,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,2794 MARKET ST NE SALEM OR  97301-1641,Marion,2025-03-12,,,0,0,, 
050-100834893DE,A Prime Leaf,Recreational Retailer,Pike Park LLC,Recreational Retailer,2974 12TH ST SE SALEM OR  97302-3163,Marion,2025-07-05,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10083622BC7,Sweet Relief Gearhart,Recreational Retailer,G. O. Enterprises LLC,Recreational Retailer,4210 HIGHWAY 101 N GEARHART OR  97138-4334,Clatsop,2025-07-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1008370DC68,Mr. Nice Guy Lebanon,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,700 PARK ST LEBANON OR  97355-3202,Linn,2025-04-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10084881C6D,Natural High,Recreational Retailer,Cody Richard Howard,Recreational Retailer,"749 W RIVERSIDE DR STE A, COQUILLE OR  97423-1852",Coos,2024-11-14,,,0,0,, 
050-1008521615D,Paradise Found,Recreational Retailer,JIA Holdings Ltd,Recreational Retailer,10655 SE 42ND AVE MILWAUKIE OR  97222-5251,Clackamas,2025-02-21,,,0,0,, 
050-10085557734,The Oz. House,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,712 PARK ST LEBANON OR  97355-3202,Linn,2025-03-22,,,0,0,, 
050-10085813943,The New Amsterdam,Recreational Retailer,The New Amsterdam LLC,Recreational Retailer,15 N F ST LAKEVIEW OR  97630-1527,Lake,2025-06-17,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer",01679198 2
050-100858709AE,La Mota Lebanon 3 LLC,Recreational Retailer,La Mota Lebanon 3 LLC,Recreational Retailer,2645 S MAIN RD LEBANON OR  97355-2339,Linn,2025-03-07,,,0,0,, 
050-1008663DE73,Hippy Trip,Recreational Retailer,"Hippy Trip, Inc",Recreational Retailer,249 S HIGHWAY 101 DEPOE BAY OR  97341-9855,Lincoln,2025-08-23,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100869451F2,Livewell Dispensary,Recreational Retailer,Livewell INC,Recreational Retailer,1522 BROADWAY ST NE SALEM OR  97301-0506,Marion,2025-04-19,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1008712E87C,FX 420 INC,Recreational Retailer,FX 420 INC,Recreational Retailer,"161 NE GARDEN VALLEY BLVD STE 105, ROSEBURG OR  97470-5117",Douglas,2025-04-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1008736780D,"Salem Organics, LLC",Recreational Retailer,"Salem Organics, LLC",Recreational Retailer,4980 COMMERCIAL ST SE SALEM OR  97302-1908,Marion,2024-09-25,,,0,0,, 
050-10087509BD5,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,15930 SW REGATTA LN BEAVERTON OR  97006-8925,Washington,2024-09-17,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10088018221,Mother Earth Medicines,Recreational Retailer,"Ross Agro, LLC",Recreational Retailer,36 S RIVERSIDE AVE MEDFORD OR  97501-7233,Jackson,2025-04-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10088208976,Somewhere,Recreational Retailer,"Salem Hyacinth, LLC",Recreational Retailer,2128 NW OVERTON ST PORTLAND OR  97210-2925,Multnomah,2025-02-04,,,0,0,, 
050-100883848C4,Mr. Nice Guy Bond St.,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,730 BOND ST STE B ASTORIA OR  97103-4234,Clatsop,2024-11-13,,,0,0,, 
050-10088445D61,OG Collective,Recreational Retailer,"OG Collective, LLC and OG Leasing, LLC",Recreational Retailer,140 PACIFIC AVE N MONMOUTH OR  97361-1515,Polk,2025-02-27,,,0,0,, 
050-1008848DCF8,Mr. Nice Guy - 3rd St,Recreational Retailer,"MNG Holdings, LLC",Recreational Retailer,504 NW 3RD ST CORVALLIS OR  97330-6405,Benton,2024-10-16,,,0,0,, 
050-10088926F6F,kaleafa,Recreational Retailer,11821 NE Glisan LLC,Recreational Retailer,11821 NE GLISAN ST PORTLAND OR  97220-2142,Multnomah,2024-09-20,,,0,0,, 
050-1009085FCAD,La Mota Brookings,Recreational Retailer,La Mota Brookings LLC,Recreational Retailer,307 FERN AVE BROOKINGS OR  97415,Curry,2025-07-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10090892548,Greenery,Recreational Retailer,"SHH..., LLC",Recreational Retailer,"8700 SW BARBUR CT STE M, PORTLAND OR  97219-4074",Multnomah,2024-08-28,,,0,0,, 
050-100912345DE,Phresh Start,Recreational Retailer,Phresh Start LLC,Recreational Retailer,"4925 BARGER DR STE A, EUGENE OR  97402-1174",Lane,2025-05-10,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1009127E8AF,PottonMouth Retail Cannabis,Recreational Retailer,PottonMouth LLC / Laughing Head LLC,Recreational Retailer,950 SE SHERIDAN RD SHERIDAN OR  97378-1913,Yamhill,2025-05-10,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10091572D9A,Top Shelf Medicine 2,Recreational Retailer,TSM 2 INC.,Recreational Retailer,116 SW 4TH ST CORVALLIS OR  97333-4712,Benton,2025-05-23,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1009165329F,SUBSTANCE,Recreational Retailer,Bloom Well Inc,Recreational Retailer,61406 S HIGHWAY 97 BEND OR  97702-3338,Deschutes,2025-02-27,,,0,0,, 
050-1009200822A,Cafe Verde,Recreational Retailer,Cafe Verde LLC,Recreational Retailer,2455 ROGUE RIVER HWY GRANTS PASS OR  97527-4634,Josephine,2025-03-05,,,0,0,, 
050-1009286BD03,Nectar Markets,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,3650 MAIN ST SPRINGFIELD OR  97478-6448,Lane,2025-04-18,,,0,0,"Marijuana Home Delivery, Marijuana Home Delivery, Medical Marijuana Retailer, Medical Marijuana Retailer", 
050-10092871208,The House of Dank LLC,Recreational Retailer,The House of Dank LLC,Recreational Retailer,379 FIR AVE STE 6-8 REEDSPORT OR  97467-4405,Douglas,2025-05-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100930492A3,Fidus PDX,Recreational Retailer,"Fidus PDX, LLC",Recreational Retailer,"7501 SW CAPITOL HWY UNIT A, PORTLAND OR  97219-2434",Multnomah,2024-07-09,,,0,0,, 
050-1009362B0FF,Kanopy 7,Recreational Retailer,Kanopy 7 West Medford LLC,Recreational Retailer,"1252 W MCANDREWS RD STE 2, MEDFORD OR  97501-2249",Jackson,2025-07-02,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1009465D34F,Preserve Oregon,Recreational Retailer,Preserve Oregon Corp,Recreational Retailer,1201 COMMERCIAL ST SE SALEM OR  97302-4203,Marion,2025-09-18,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1009489D6FC,Electric Lettuce Denny,Recreational Retailer,"Denny Retail Investments, Inc.",Recreational Retailer,6950 SW 105TH AVE BEAVERTON OR  97008-5441,Washington,2025-05-10,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100950903F9,Redwood Cannabis Dispensary,Recreational Retailer,Price Family Enterprise LLC,Recreational Retailer,825 NE F ST GRANTS PASS OR  97526-2329,Josephine,2025-07-09,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10096429A3B,Silver Creek Dispensary,Recreational Retailer,"Integro Group, LLC",Recreational Retailer,307 E MAIN ST SILVERTON OR  97381-1714,Marion,2025-05-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100968483EA,Shaman Cannabis - Columbia,Recreational Retailer,LTV Holdings LLC,Recreational Retailer,3829 NE COLUMBIA BLVD PORTLAND OR  97211-2043,Multnomah,2024-09-12,,,0,0,, 
050-10097447A5F,Blazen Cannabis,Recreational Retailer,Blazen Cannabis LLC,Recreational Retailer,800 HIGHWAY 20 S HINES OR  97738-2522,Harney,2024-10-18,,,0,0,, 
050-100977881FD,Herbal Choices,Recreational Retailer,Rosa Land & Timber Inc.,Recreational Retailer,50375 HIGHWAY 101 BANDON OR  97411-8200,Coos,2025-06-19,,,0,0,, 
050-10097838926,HGR2,Recreational Retailer,Home Grown Remedies LLC,Recreational Retailer,7314 3RD ST SE TURNER OR  97392-9702,Marion,2025-05-29,,,0,0,Medical Marijuana Retailer, 
050-10099690C5E,The Canna Shoppe,Recreational Retailer,Willamette Bay Holdings Inc.,Recreational Retailer,6316 NE HALSEY ST PORTLAND OR  97213-4757,Multnomah,2025-07-08,,,0,0,, 
050-10100114EFC,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,4709 SW BEAVERTON HILLSDALE HWY PORTLAND OR  97221-2911,Multnomah,2025-02-05,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1010254919C,The Spot Cannabis Collective,Recreational Retailer,"Atlas V, LLC.",Recreational Retailer,2590 CRATER LAKE HWY MEDFORD OR  97504-4167,Jackson,2025-02-02,,,0,0,, 
050-10103753D2B,Truth Dispensary,Recreational Retailer,Truth inc,Recreational Retailer,1735 LANCASTER DR NE SALEM OR  97305-1024,Marion,2025-07-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10103955057,"Today's Herbal Choice Reedsport, LLC",Recreational Retailer,"Today's Herbal Choice Reedsport, LLC",Recreational Retailer,1051 HIGHWAY 101 S REEDSPORT OR  97467-1640,Douglas,2025-03-13,,,0,0,, 
050-101040688B0,Broadway Cannabis Market,Recreational Retailer,"Broadway Project, Inc.",Recreational Retailer,427 NW BROADWAY PORTLAND OR  97209-3512,Multnomah,2025-07-10,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10104115CC6,Nebula Cannabis,Recreational Retailer,Haramkhor LLC,Recreational Retailer,11605 SE POWELL BLVD PORTLAND OR  97266-1631,Multnomah,2025-04-04,,,0,0,, 
050-101043554F6,Western Oregon Dispensary,Recreational Retailer,"Western Oregon Dispensary, Inc.",Recreational Retailer,15025 SW TUALATIN SHERWOOD RD STE B SHERWOOD OR  97140-8317,Washington,2025-01-05,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-101048392D3,Plus Dispensary,Recreational Retailer,Gaza LLC,Recreational Retailer,45 NE 122ND AVE PORTLAND OR  97230-2101,Multnomah,2024-12-02,,,0,0,, 
050-1010491A550,La Mota Medford 3,Recreational Retailer,La Mota Medford 3 LLC,Recreational Retailer,3460 N PACIFIC HWY MEDFORD OR  97501-1348,Jackson,2025-05-20,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1010496F611,"Today's Herbal Choice Barbur, LLC",Recreational Retailer,"Today's Herbal Choice Barbur, LLC",Recreational Retailer,9220 SW BARBUR BLVD PORTLAND OR  97219-5433,Multnomah,2025-04-18,,,0,0,, 
050-1010641CEDD,The Bake Shop,Recreational Retailer,The Honey Pot LLC,Recreational Retailer,3125B PORTLAND RD NE SALEM OR  97301-0129,Marion,2025-04-07,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10106545CBB,La Mota Sweet Home LLC,Recreational Retailer,La Mota Sweet Home LLC and Rosa Cazares,Recreational Retailer,1025 MAIN ST SWEET HOME OR  97386-1515,Linn,2024-11-14,,,0,0,, 
050-101068041F4,La Mota Roseburg 2 LLC,Recreational Retailer,La Mota Roseburg 2 LLC,Recreational Retailer,573 NE STEPHENS ST ROSEBURG OR  97470-3150,Douglas,2025-02-18,,,0,0,, 
050-1010695C070,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,698 W 6TH AVE EUGENE OR  97402-5119,Lane,2024-09-16,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10107001EDC,Canna Bros. Stayton,Recreational Retailer,Riverglass Shop LLC,Recreational Retailer,2420 MARTIN DR STAYTON OR  97383-1648,Marion,2024-12-21,,,0,0,, 
050-101070561E6,Electric Lettuce Sunnyside,Recreational Retailer,Sunnyside Retail Investments Inc.,Recreational Retailer,16416 SE SUNNYSIDE RD HAPPY VALLEY OR  97015-8739,Clackamas,2025-03-06,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1010724DE65,Green Knottz Madras,Recreational Retailer,"GKE, LLC",Recreational Retailer,"108 SW D ST STE A, MADRAS OR  97741-1318",Jefferson,2024-10-16,,,0,0,, 
050-1010879025E,Pioneer Cannabis Co.,Recreational Retailer,Pioneer Herbs LLC,Recreational Retailer,141 S 5TH ST MADRAS OR  97741-1601,Jefferson,2024-11-27,,,0,0,, 
050-1010887904B,Green Health Eugene,Recreational Retailer,Sugarbush Botanicals LLC,Recreational Retailer,607 HIGHWAY 99 N EUGENE OR  97402-2306,Lane,2025-06-03,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
